שם,סוג,קישור,תיאור,תגיות,חינם/תשלום
A Dictionary of Color Combinations (Wada Sanzo),כלי,Wada Colors,"כלי דיגיטלי המבוסס על עבודתו המונומנטלית של האמן היפני וואדה סנזו משנות ה-30. האתר מציג מאות שילובי צבעים ייחודיים (זוגות, שלשות ורביעיות) המאופיינים באסתטיקה יפנית מסורתית ומודרנית כאחד. המשתמשים יכולים לחקור פלטות צבעים נדירות, להעתיק קודי HEX ולשאוב השראה משילובים המבוססים על תיאוריית צבעים על-זמנית.",צבעים ופלטות,חינם
Uncut,ספרייה/מאגר,UNCUT.wtf,"פלטפורמה האוצרת פונטים איכותיים ומעוצבים הזמינים לשימוש חופשי תחת רישיונות קוד פתוח. האתר מתמקד באסתטיקה מודרנית וניסיונית, ומציג גופנים בעלי נוכחות ויזואלית חזקה שמתאימים לפרויקטים עכשוויים. הממשק מאפשר בדיקה נוחה של הגופנים והורדה ישירה שלהם.",טיפוגרפיה,חינם
Death to Stock,ספרייה/מאגר,Death to Stock,"פלטפורמה המציעה אלטרנטיבה לתמונות הסטוק הגנריות. האתר מספק צילומים אמנותיים, אותנטיים ובעלי סגנון ייחודי (High-end), שנועדו לעזור למותגים וליוצרים לבלוט. התכנים מאורגנים בחבילות נושאיות ומתעדכנים מדי חודש כדי לשמור על רעננות ויזואלית.",תמונות סטוק,תשלום/מנוי
Curation of Curations,ספרייה/מאגר,Curation of Curations,"פרויקט ייחודי המרכז את כל רשימות האוצרות (Curations) הטובות ביותר ברשת במקום אחד. האתר משמש כ""על-מדריך"" המפנה לאוספים נבחרים בתחומי העיצוב, הטכנולוגיה, הפרודוקטיביות והקריאייטיב. הוא נועד לעזור למשתמשים למצוא משאבים איכותיים שמישהו כבר סינן ובחר עבורם בקפידה.","השראה, מיתוג, איור, לוגו וסמלים, עיצוב גרפי",חינם
PNGMaker,כלי,PNG Maker AI,"כלי המשתמש בבינה מלאכותית ליצירת אלמנטים גרפיים ותמונות עם רקע שקוף באופן אוטומטי. המשתמש מזין תיאור טקסטואלי (Prompt), והמערכת מייצרת אובייקט מבודד שניתן להוריד ולהטמיע ישירות בעיצובי גרפיקה, מצגות או אתרים ללא צורך בהסרת רקע ידנית.","GenAI, תמונות סטוק, כלי עבודה",חצי חינם (freemium)
Life of Pix,ספרייה/מאגר,Life of Pix,"אתר המציע אוסף של תמונות איכותיות ואמנותיות ברזולוציה גבוהה, ללא הגבלות זכויות יוצרים (Public Domain). האתר נאוצר על ידי סוכנות הקריאייטיב Leeroy ומציג מדי שבוע ""צלם נבחר"". התמונות מתאפיינות בסגנון טבעי ואותנטי מאוד, ומתאימות לשימוש אישי ומסחרי.",תמונות סטוק,חינם
Unsplash,ספרייה/מאגר,Unsplash,"אחת מספריות הצילום הגדולות והפופולריות בעולם, המציעה מיליוני תמונות איכותיות שנבחרו בקפידה על ידי הקהילה. האתר ידוע בסגנון צילום מודרני, טבעי ופחות ""סטוקי"" מהמאגרים המסורתיים. התמונות ניתנות לשימוש חופשי כמעט לכל מטרה, והוא משמש כלי בסיסי עבור מעצבים, בלוגרים ויוצרי תוכן.",תמונות סטוק,חינם
Pexels,ספרייה/מאגר,Pexels,"פלטפורמה פופולרית המציעה ספרייה ענקית של צילומים וסרטוני וידאו איכותיים ברזולוציה גבוהה. כל התכנים באתר נבחרים בקפידה וניתנים לשימוש חופשי (תחת רישיון Pexels), כולל למטרות מסחריות. האתר מצטיין בממשק נוח, חיפוש לפי צבעים ואוצרות נושאית שעוזרת למצוא ויזואליה מודרנית ורלוונטית בקלות.",תמונות סטוק,חינם
Modyfi,כלי,Modyfi,"כלי עיצוב מהדור החדש המשלב יכולות וקטוריות ופיקסליות עם בינה מלאכותית יוצרת (Generative AI) ישירות בדפדפן. המערכת מאפשרת עבודה אינטראקטיבית בזמן אמת, עריכה לא-הרסנית, ושיתוף פעולה בין מעצבים. היא נועדה להחליף תהליכי עבודה מסורתיים ואיטיים בכלים שמאפשרים ייצור מהיר של גרפיקה, מוקאפים ואלמנטים ויזואליים מורכבים.","GenAI, עיבוד תמונה, כלי עבודה, UX/UI",חינם
Flyerwrk,"ספרייה/מאגר, Assets",https://www.flyerwrk.com/en-au/en-com/collections/mockups,"פלטפורמה המציעה מוקאפים איכותיים ומסוגננים עם דגש על אסתטיקה של אופנה (Streetwear), אריזות וגרפיקה אורבנית. המשאבים מאופיינים במראה ריאליסטי מאוד ומפורט, ומתאימים למעצבים שמחפשים להציג עבודות מיתוג ועיצוב מוצר ברמה גבוהה ועדכנית.","תמונות סטוק, מוקאפ",תשלום/מנוי
Mockups Design,"ספרייה/מאגר, Assets",Mockups Design,"אתר המציע מבחר עצום של מוקאפים איכותיים וחינמיים לחלוטין להורדה. המאגר כולל קטגוריות רבות כמו אריזות, מוצרי דפוס (כרטיסי ביקור, פליירים), מכשירים דיגיטליים ושילוט. כל מוקאפ מגיע בפורמט PSD עם שכבות חכמות (Smart Objects) המאפשרות התאמה מהירה ונוחה של העיצוב.",מוקאפ,חינם
Pacdora,כלי,Pacdora,"פלטפורמה מקיפה המוקדשת כולה לעיצוב אריזות. היא מאפשרת למעצבים לבחור מתוך אלפי תבניות של קופסאות, בקבוקים ושקיות, לעצב אותם בדו-ממד ולראות הדמיה תלת-ממדית מדויקת בזמן אמת. הכלי כולל גם אפשרות להורדת קווי חיתוך (Dielines) מוכנים לדפוס ויצירת סרטוני הדמיה של המוצר.","מיתוג, מוקאפ, כלי עבודה, 3D",חצי חינם (freemium)
Internet Archive Book Images,ספרייה/מאגר,Internet Archive Book Images | Flickr,"פרויקט ענק הסורק מיליוני תמונות, איורים ודיאגרמות מתוך ספרים שנסרקו על ידי ה-Internet Archive. המאגר מכסה מאות שנים של ידע אנושי ומציע השראה ויזואלית נדירה הכוללת רישומים מדעיים, מפות, איורים אמנותיים וגרפיקה נוסטלגית, הכל עם גישה נוחה לחיפוש לפי נושאים או שנים.","תמונות סטוק, השראה",חינם
Minimal Gallery,השראה,Minimal Gallery,"אוסף נבחר של אתרים המצטיינים בעיצוב נקי, מינימליסטי ומודרני. האתר משמש כארכיון השראה למעצבי UI/UX ומפתחים, ומציג פרויקטים מכל העולם המדגישים טיפוגרפיה איכותית, שימוש חכם בחלל לבן וממשקים פשוטים אך פונקציונליים. האוצרות מתעדכנת על בסיס יומי על ידי המעצב פייט בהארי (Piet Terhal).","השראה, UX/UI, עיצוב ווב ואתרים",חינם
Godly,השראה,Godly,"פלטפורמה האוצרת את האתרים המעוצבים ביותר ברשת, עם דגש מיוחד על אינטראקציות מורכבות, אנימציות חלקות וחווית משתמש (UX) יוצאת דופן. האתר מאפשר לסנן השראה לפי קטגוריות, סגנונות ורכיבים, וכולל תצוגה מקדימה בווידאו של האתרים כדי שניתן יהיה להתרשם מהתנועה שלהם מבלי לצאת מהגלריה.","השראה, UX/UI, עיצוב ווב ואתרים",חינם
Dark Mode Design,השראה,Dark Mode Design,"אוסף נבחר של אתרים המעוצבים באופן בלעדי או מיטבי במצב כהה. הגלריה מציגה עבודות המצטיינות בשימוש בצבעים כהים, ניגודיות גבוהה ואסתטיקה מודרנית, ומספקת השראה למעצבי ווב ו-UI המעוניינים ליצור חוויות משתמש אלגנטיות ונוחות לעין בשעות החשיכה.","השראה, UX/UI, עיצוב ווב ואתרים",חינם
Infography,כלי,Infography,"פלטפורמה האוצרת דוגמאות נבחרות של אינפוגרפיקות, הצגת נתונים (Data Viz) וסיפור סיפורים ויזואלי (Visual Storytelling). האתר מציג עבודות מורכבות ומעוצבות לעומק, ומסייע למעצבים למצוא דרכים יצירתיות להפוך מידע יבש לתוכן ויזואלי מרתק, ברור ואסתטי.","אייקונים, Data Visual, השראה",חצי חינם (freemium)
LogoRank,כלי,Logo Rank - Check your logo design with deep learning,"מערכת המשתמשת ברשתות עצביות שאומנו על מיליוני עיצובי לוגו כדי להעריך את האיכות והביצועים של הלוגו שלכם. הכלי מדרג את הלוגו לפי פרמטרים של ייחודיות (Uniqueness), קריאות (Legibility) וצבעוניות/ניגודיות (Color/Contrast), ומספק תובנות שיכולות לעזור בשיפור העיצוב.","UX/UI, לוגו וסמלים, GenAI",חינם
Same Energy,ספרייה/מאגר,Same Energy,"מנוע חיפוש ויזואלי המאפשר למצוא תמונות בעלות ""אנרגיה"", סגנון או אווירה דומים לתמונה נבחרת. במקום להסתמך על מילות מפתח, הכלי משתמש בלמידת מכונה כדי להבין את הקומפוזיציה, הצבעוניות והתחושה של הדימוי, מה שהופך אותו לכלי אידיאלי ליצירת לוחות השראה (Moodboards) ומציאת השראה ויזואלית לא שגרתית.","השראה, GenAI, תמונות סטוק",חינם
Rive,כלי,Rive,"פלטפורמת עיצוב ואנימציה המאפשרת ליצור נכסים ויזואליים מורכבים ואינטראקטיביים שרצים בזמן אמת על גבי אפליקציות, אתרים ומשחקים. בניגוד לאנימציות וידאו רגילות, הקבצים של Rive הם וקטוריים, קלים מאוד במשקל, וניתנים לשליטה מלאה באמצעות קוד (State Machines), מה שמאפשר להם להגיב לפעולות המשתמש באופן דינמי.","UX/UI, Motion Design, עיצוב ווב ואתרים",חצי חינם (freemium)
GSAP (GreenSock Animation Platform),ספרייה/מאגר,GSAP,"נחשבת לסטנדרט התעשייה לאנימציות ווב בעלות ביצועים גבוהים. הספרייה מאפשרת למפתחים ולמעצבים ליצור אנימציות מורכבות, מבוססות ציר זמן (Timeline), שרצות בצורה חלקה בכל הדפדפנים. היא כוללת כלים מתקדמים לשליטה ב-SVG, גלילה (ScrollTrigger), ושינויי צורה של אלמנטים.","עיצוב ווב ואתרים, UX/UI",חצי חינם (freemium)
Jitter,כלי,Jitter,"פלטפורמה המאפשרת למעצבים ליצור בקלות אנימציות עבור ממשקי משתמש (UI), סרטוני רשתות חברתיות ותוכן שיווקי. הכלי נחשב ל""פיגמה של האנימציה"" בזכות ממשק פשוט וידידותי, המאפשר להנפיש טקסטים, אלמנטים גרפיים וקבצי Figma מיובאים במהירות וברמה מקצועית.","UX/UI, Motion Design",חצי חינם (freemium)
Everything Universe,"ספרייה/מאגר, כלי",Anything World,"ספרייה דיגיטלית ואוצרות רחבה של משאבי עיצוב, אתרים מעוררי השראה, כלים יצירתיים וסטודיואים לעיצוב מרחבי העולם. האתר משמש כציר זמן ויזואלי המאפשר למעצבים לחקור טרנדים, למצוא רפרנסים איכותיים ולהיחשף לעבודות קריאייטיב יוצאות דופן במגוון רחב של תחומים.","Motion Design, 3D, UX/UI, השראה",חצי חינם (freemium)
Fuse.Kiwi,ספרייה/מאגר,Fuse.kiwi,"ארכיון הולך וגדל של קישורים לאתרי אינטרנט מקוריים, בידור דיגיטלי ותוכן יצירתי מרחבי הרשת. הפרויקט החל ב-2017 במטרה להוות אלטרנטיבה לרשתות החברתיות ולאפשר גילוי של יוצרים ישירות מהמקור שלהם. האתר מעדכן קישורים חדשים מדי שבוע ומבוסס על קהילת יוצרים ואוצרים אורחים.","השראה, עיצוב גרפי",חינם
Google Earth Studio,כלי,Google Earth Studio,"כלי אנימציה מקצועי המשתמש במאגר המידע הוויזואלי של Google Earth. הוא מאפשר ליצור סרטונים מרהיבים של תנועות מצלמה (כמו ""צלילה"" מהחלל או טיסה מעל ערים) באיכות גבוהה. הכלי כולל ממשק המבוסס על ציר זמן (Keyframes) בדומה לתוכנות עריכה ואנימציה, ומיועד ליוצרי תוכן, עיתונאים ומפיקים שזקוקים להדמיות גאוגרפיות ריאליסטיות.","Motion Design, כלי עבודה",חינם
Durves,כלי,https://www.durves.com/,"כלי ייחודי ופשוט לשימוש המאפשר ליצור טקסטורות מורכבות של נקודות (Dot Patterns) וגלים. הממשק האינטראקטיבי נותן שליטה מלאה על פרמטרים כמו צפיפות, גודל, תדר ואמפליטודה, ומאפשר לייצא את התוצאה כקובץ SVG או PNG. הכלי אידיאלי ליצירת רקעים מודרניים ואלמנטים גרפיים לממשקי משתמש (UI).","עיצוב גרפי, כלי עבודה",חינם
Spiral (by SOOT),ספרייה/מאגר,https://spiral.soot.com/spiral,"כלי חדשני למחקר חזותי ההופך מילות חיפוש ללוחות השראה (Moodboards) עשירים באופן מיידי. בשונה ממנועי חיפוש רגילים המציגים רשת שטוחה של תמונות, Spiral מסדר את התוצאות בממשק ספירלי תלת-ממדי המציג קשרים, היררכיות והקשרים תרבותיים בין הדימויים. הכלי אינו מייצר תמונות (Generative AI) אלא מוצא ואוצר תמונות אמיתיות מארכיונים, אתרי אופנה ומאגרי מידע, מה שהופך אותו לכלי מחקר אידיאלי למעצבים, ארט דירקטורים וחוקרי תרבות.",השראה,חינם
Cargo,כלי,https://cargo.site/,"פלטפורמה פופולרית מאוד לבניית אתרים, שנוצרה במיוחד עבור קהילת האמנים, המעצבים והצלמים. Cargo מציעה תבניות עיצוב ייחודיות, אסתטיות ולעיתים אוונגרדיות, השונות מהמראה ה""תבניתי"" של בוני אתרים מסחריים אחרים. המערכת מאפשרת שליטה מדויקת בטיפוגרפיה ובפריסה (Layout) ונחשבת לסטנדרט בתעשייה להצגת תיקי עבודות מקצועיים.",עיצוב ווב ואתרים,תשלום/מנוי
Material Design 3,ספרייה/מאגר,https://m3.material.io/,"הגרסה העדכנית ביותר של מערכת העיצוב הפתוחה של גוגל (הידועה גם בשם ""Material You""). האתר מספק דוקומנטציה מלאה, קווים מנחים וכלים למעצבים ומפתחים לבניית ממשקים אדפטיביים ואישיים. החידוש המרכזי בגרסה זו הוא התאמה אישית של צבעים (Dynamic Color) שבה הממשק משתנה בהתאם לרקע המכשיר של המשתמש, לצד רכיבים מעודכנים ושיפורי נגישות.","צבעים ופלטות, טיפוגרפיה, UX/UI, עיצוב ווב ואתרים, עיצוב גרפי",חינם
Anime.js,ספרייה/מאגר,https://animejs.com/,"ספריית JavaScript קלילה ופופולרית מאוד ליצירת אנימציות ברשת. הספרייה מציעה API פשוט אך חזק, המאפשר להנפיש כמעט כל דבר: מאפייני CSS, אלמנטים של SVG, אטריביוטים של DOM ואובייקטים של JavaScript. היא מצטיינת ביכולת לשלוט בתזמון (Timing) בצורה מדויקת ומאפשרת ליצור תנועות מורכבות וזורמות בקלות.","עיצוב ווב ואתרים, UX/UI, Motion Design",חינם
Akrivi,כלי,https://www.akrivi.io/,"ערכת כלים (Toolkit) המיועדת למעצבי זהות מותג, המאפשרת לייעל תהליכים טכניים ומורכבים בתוך אילוסטרייטור. האוסף כולל כלים כמו Gridit ליצירה אוטומטית של גרידים ללוגו (Logo Grids), Presenta ליצירת מצגות בסגנון Bento Grids, ו-Guideit להפקה מהירה של ספרי מותג (Brand Guidelines). המטרה היא לחסוך שעות של עבודה ידנית ולשפר את הדיוק המקצועי של התוצרים.","מיתוג, כלי עבודה",תשלום/מנוי
TopoExport,כלי,https://topoexport.com/,"כלי מקוון המאפשר לאדריכלים, מתכנני ערים ומעצבי נוף להוריד מפות דו-ממדיות (CAD) ומודלים תלת-ממדיים (3D) של כל אזור בעולם. הכלי מתבסס על מידע גאוגרפי פתוח ומאפשר לייצא קבצים בפורמטים כמו DXF, OBJ ו-STL, המוכנים לשימוש בתוכנות שרטוט והדמיה או להדפסה בתלת-ממד. נחשב לאלטרנטיבה פופולרית ומהירה ל-Cadmapper.","כלי עבודה, 3D",חצי חינם (freemium)
Higgsfield AI,כלי,https://higgsfield.ai/,"פלטפורמת וידאו גנרטיבית שתוכננה במיוחד עבור יוצרי תוכן ורשתות חברתיות. אפליקציית הדגל שלה, Diffuse, מאפשרת ליצור סרטונים קולנועיים ותנועתיים מאוד מתוך טקסט או תמונה ישירות מהנייד. היא מציעה כלים מתקדמים לשליטה בתנועות מצלמה, שמירה על עקביות דמות (עבור ""משפיעני AI"") ופיצ'רים כמו Angles לשינוי זווית צילום של תמונות סטטיות.","כלי עבודה, 3D, עיבוד תמונה, GenAI, Motion Design",חצי חינם (freemium)
Internet Intro,ספרייה/מאגר,https://internetintro.com/,"אתר המוקדש לגילוי מחדש של ה""רשת הפתוחה"" (Open Web). הוא אוצר ומציג אתרים יצירתיים, משחקי דפדפן, פרויקטים אינטראקטיביים וכלים מוזרים אך שימושיים שאינם חלק מהרשתות החברתיות הגדולות. המטרה היא להחזיר את חוויית הגלישה של פעם (""StumbleUpon"" סטייל) ולחשוף יוצרים עצמאיים.","השראה, עיצוב גרפי",חינם
Remotion,"כלי, ספרייה/מאגר",https://www.remotion.dev/,"פרייימוורק (Framework) המאפשר ליצור סרטוני וידאו אמיתיים (MP4) באמצעות כתיבת קוד ב-React. במקום להשתמש בתוכנת עריכה כמו פרמייר, משתמשים ב-HTML, CSS ו-JavaScript כדי לעצב ולהנפיש את הפריים. הכלי אידיאלי ליצירת וידאו ""פרמטרי"" – סרטונים שמשתנים בהתאם לנתונים (כמו סרטוני ""סיכום שנה"" אישיים), אוטומציה של תוכן ויזואלי ויצירת גרפיקה מבוססת קוד.","Motion Design, GenAI, Data Visual",חינם
Motion by Zajno,השראה,https://motion.zajno.com/,"מיני-אתר ייעודי של סטודיו העיצוב הדיגיטלי Zajno, המוקדש כולו לעקרונות האנימציה בממשקי משתמש (UI/UX). האתר משמש כמדריך ויזואלי ומראה כיצד תנועה יכולה להעביר את אופי המותג, לשפר את חווית המשתמש ולספר סיפור. הוא מציג דוגמאות לטכניקות שונות (כמו Parallax, Masking, Transformation) ומסביר את הרציונל שמאחוריהן.","Motion Design, UX/UI, השראה",חינם
